Metric,FC AE  (1),LSTM  (1),LOF  (1)
F1 Score (point-wise),0.242042651200155,0.383039743368753,0
F1 Score (event-wise),0,0.450002755547119,0
F1 Score (point-adjusted),0.0346482322781409,0.29960114318874,0
F1 Score (composite),0.0640638743755011,0.377524310475498,0
F0.5 Score (point-wise),0.173948268171891,0.396121218820704,0
F0.5 Score (event-wise),0,0.520996276378248,0
F0.5 Score (point-adjusted),0.0492853426487024,0.333118004616983,0
F0.5 Score (composite),0.079054538136656,0.397040457636246,0
Precision (point-wise),0.0845699710299111,0.396121218820704,0
Precision (event-wise),0,0.549987654406897,0
Precision (point-adjusted),0.0572049385979917,0.340259783106967,0
Recall (point-wise),0.289772358930247,0.234830162032052,0
Recall (event-wise),0,0,0
Recall (point-adjusted),0,0,0
